epoch,samples,train_loss,valid_loss
1,3000,2.7045918644467988,2.446748914498562
1,6000,2.5925159649451572,2.446748914498562
1,9000,2.515691790093978,2.446748914498562
1,12000,2.5751273619731267,2.446748914498562
1,15000,2.760766264418761,2.446748914498562
1,18000,2.457280020058155,2.446748914498562
1,21000,2.5854295471012594,2.446748914498562
1,24000,2.4213114111721517,2.446748914498562
1,27000,2.5254068542718886,2.446748914498562
1,30000,2.584730163017909,2.446748914498562
1,33000,2.412821134308974,2.446748914498562
1,36000,2.426705034852028,2.446748914498562
1,39000,2.604238263299068,2.446748914498562
1,42000,2.400596060405175,2.446748914498562
1,45000,2.611165011495352,2.446748914498562
1,48000,2.542726049254338,2.446748914498562
1,51000,2.569633090674877,2.446748914498562
1,54000,2.456383559862773,2.446748914498562
1,57000,2.3937169365882873,2.446748914498562
1,60000,2.5850776414573193,2.446748914498562
1,63000,2.5326077000796796,2.446748914498562
1,66000,2.342902596265078,2.446748914498562
1,69000,2.718537110219399,2.446748914498562
1,72000,2.4833031151294707,2.446748914498562
1,75000,2.406277582168579,2.446748914498562
1,78000,2.5246795915265876,2.446748914498562
1,81000,2.535729308674733,2.446748914498562
1,84000,2.538044232328733,2.446748914498562
1,87000,2.5380431493222715,2.446748914498562
1,90000,2.6879144765834013,2.446748914498562
1,93000,2.562869590461254,2.446748914498562
1,96000,2.536887114107609,2.446748914498562
1,99000,2.511799083749453,2.446748914498562
1,102000,2.6507216039697328,2.446748914498562
1,105000,2.432295824388663,2.446748914498562
1,108000,2.4901335378289224,2.446748914498562
1,111000,2.5917772415181,2.446748914498562
1,114000,2.5489429221947986,2.446748914498562
1,117000,2.4344458273748555,2.446748914498562
1,120000,2.623195022155841,2.446748914498562
1,123000,2.5444017085234325,2.446748914498562
1,126000,2.640384901046753,2.446748914498562
1,129000,2.6038525947630404,2.446748914498562
1,132000,2.3757323427200316,2.446748914498562
1,135000,2.5050820501546065,2.446748914498562
1,138000,2.5494429472486178,2.446748914498562
1,141000,2.5744861142436664,2.446748914498562
1,144000,2.6869588111341,2.446748914498562
1,147000,2.555393130759398,2.446748914498562
